,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,antecedent_len,consequents_len
5400,"frozenset({'Product = P00117442', 'Age = 26-35'})",frozenset({'Product = P00000142'}),0.08215922593787132,0.19181802749957563,0.03174333729417756,0.3863636363636364,2.0142196299275947,0.01598371663388311,1.3170372885192103,2,1
5401,"frozenset({'Product = P00000142', 'Age = 26-35'})",frozenset({'Product = P00117442'}),0.07401120353080971,0.20828382278051263,0.03174333729417756,0.4288990825688073,2.0592049677366293,0.01632800089419394,1.3862982058943634,2,1
5460,"frozenset({'Product = P00028842', 'Age = 26-35'})",frozenset({'Product = P00005042'}),0.08759124087591241,0.16211169580716348,0.031064335426922423,0.35465116279069764,2.1876963350785337,0.016864770830674527,1.2983494443348458,2,1
5461,"frozenset({'Product = P00005042', 'Age = 26-35'})",frozenset({'Product = P00028842'}),0.06925819046002377,0.19894754710575455,0.031064335426922423,0.44852941176470584,2.2545108913872713,0.017285588317917523,1.4525751145815649,2,1
5480,"frozenset({'Product = P00059442', 'Age = 26-35'})",frozenset({'Product = P00005042'}),0.0908164997453743,0.16211169580716348,0.030215583092853507,0.33271028037383177,2.0523521064735526,0.015493166311860049,1.2556589432581724,2,1
5752,"frozenset({'Product = P00025442', 'Age = 26-35'})",frozenset({'Product = P0097242'}),0.10100152775420132,0.15209641826515022,0.03259208962824648,0.3226890756302521,2.121608643457383,0.017230119017524297,1.251867571047731,2,1
5762,"frozenset({'Product = P00031042', 'Age = 26-35'})",frozenset({'Product = P00028842'}),0.07859446613478187,0.19894754710575455,0.03140383636054999,0.39956803455723544,2.00840895185723,0.015767660106948845,1.3341269269425742,2,1
5832,"frozenset({'Product = P00059442', 'Age = 26-35'})",frozenset({'Product = P00028842'}),0.0908164997453743,0.19894754710575455,0.037514853165846206,0.4130841121495327,2.0763468469905266,0.019447133304773608,1.3648505168739533,2,1
5840,"frozenset({'Product = P00028842', 'Age = 26-35'})",frozenset({'Product = P00112442'}),0.08759124087591241,0.15379392293328806,0.03123408589373621,0.3565891472868217,2.318616629874908,0.017763085344835065,1.3151877583326004,2,1
5841,"frozenset({'Product = P00112442', 'Age = 26-35'})",frozenset({'Product = P00028842'}),0.06433542692242404,0.19894754710575455,0.03123408589373621,0.4854881266490765,2.44028204273866,0.01843471051551842,1.5569173315226614,2,1
5844,"frozenset({'Product = P00148642', 'Age = 26-35'})",frozenset({'Product = P00028842'}),0.07842471566796809,0.19894754710575455,0.032082838227805124,0.40909090909090906,2.0562752094322057,0.016480433413196636,1.355627227974877,2,1
6016,"frozenset({'Product = P00044442', 'Age = 26-35'})",frozenset({'Product = P00237542'}),0.07893396706840944,0.23323714140213886,0.038024104566287555,0.48172043010752685,2.065367579158254,0.01961377172772117,1.4794387105726368,2,1
6017,"frozenset({'Product = P00237542', 'Age = 26-35'})",frozenset({'Product = P00044442'}),0.09641826515022917,0.18655576302834834,0.038024104566287555,0.39436619718309857,2.1139319996411587,0.020036721541316947,1.3431288563950525,2,1
6020,"frozenset({'Product = P00044442', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.07893396706840944,0.19368528263452725,0.03361059242912918,0.4258064516129032,2.1984450538576796,0.01832224470801983,1.4042559684454863,2,1
6021,"frozenset({'Product = P00270942', 'Age = 26-35'})",frozenset({'Product = P00044442'}),0.08334747920556781,0.18655576302834834,0.03361059242912918,0.4032586558044806,2.161598490759049,0.018061639849445078,1.363143755471266,2,1
6106,"frozenset({'Product = P00046742', 'Age = 26-35'})",frozenset({'Product = P00073842'}),0.09234425394669836,0.15634017993549482,0.03038533355966729,0.3290441176470588,2.104667640671904,0.01594821628163144,1.2573998414112078,2,1
6168,"frozenset({'Product = P00046742', 'Age = 26-35'})",frozenset({'Product = P00111142'}),0.09234425394669836,0.17042946868103886,0.032931590561874044,0.3566176470588235,2.0924647000234353,0.017193408425991315,1.289389625821471,2,1
6238,"frozenset({'Product = P00046742', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.09234425394669836,0.19368528263452725,0.03853335596672891,0.4172794117647059,2.1544198200752693,0.02064763304138808,1.3837072752265525,2,1
6300,"frozenset({'Product = P00052842', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.06535392972330674,0.1972500424376167,0.03089458496010864,0.4727272727272727,2.396588953215459,0.01800351954872137,1.5224568160665888,2,1
6301,"frozenset({'Product = P00114942', 'Age = 26-35'})",frozenset({'Product = P00052842'}),0.08538448480733322,0.16431845187574265,0.03089458496010864,0.36182902584493043,2.20199875129389,0.01686433860235978,1.3094947623255495,2,1
6508,"frozenset({'Product = P00057642', 'Age = 26-35'})",frozenset({'Product = P00114942'}),0.09862502121880835,0.1972500424376167,0.03938210830079783,0.39931153184165236,2.0243926282953306,0.019928318679977033,1.3363831671740536,2,1
6578,"frozenset({'Product = P00057642', 'Age = 26-35'})",frozenset({'Product = P00147942'}),0.09862502121880835,0.15175691733152266,0.03140383636054999,0.31841652323580033,2.098201049644407,0.016436807168627623,1.2445182601777407,2,1
6616,"frozenset({'Product = P00057642', 'Age = 26-35'})",frozenset({'Product = P00270942'}),0.09862502121880835,0.19368528263452725,0.04447462230521134,0.4509466437177281,2.3282442402639227,0.025372407195610198,1.4685543911891528,2,1
6617,"frozenset({'Product = P00270942', 'Age = 26-35'})",frozenset({'Product = P00057642'}),0.08334747920556781,0.24274316754371075,0.04447462230521134,0.5336048879837068,2.1982282483300812,0.024242591196068246,1.6236380119477645,2,1
